funcion	bytes	estado	archivo	detalle
func_8003018C	16	IGUAL	src/sabrina/estados.c	3 de 3 capturas y 143 de 143 variantes iguales
func_80030E64	100	IGUAL	src/sabrina/estados.c	7 de 7 capturas y 657 de 657 variantes iguales
func_80030F18	232	IGUAL	src/sabrina/sabrina_g07.c	7 de 7 capturas y 424 de 424 variantes iguales
func_80031494	164	IGUAL	src/sabrina/sabrina_g07.c	7 de 7 capturas y 756 de 756 variantes iguales
func_800350A4	88	IGUAL	src/objetos/camara_g08.c	8 de 8 capturas y 176 de 176 variantes iguales
func_800350FC	148	IGUAL	src/objetos/camara_g08.c	9 de 9 capturas y 252 de 252 variantes iguales
func_80036250	188	IGUAL	src/objetos/camara_g08.c	9 de 9 capturas y 227 de 227 variantes iguales
func_8003630C	260	IGUAL	src/objetos/camara_g08.c	9 de 9 capturas y 218 de 218 variantes iguales
func_80036410	276	IGUAL	src/objetos/camara_g08.c	9 de 9 capturas y 209 de 209 variantes iguales
func_80036524	204	IGUAL	src/objetos/camara_g08.c	9 de 9 capturas y 194 de 194 variantes iguales
func_8003795C	188	IGUAL	src/objetos/camara_g08.c	3 de 3 capturas y 69 de 69 variantes iguales
func_8003821C	252	IGUAL	src/objetos/camara_g08.c	3 de 3 capturas y 63 de 63 variantes iguales
func_80039AF4	40	IGUAL	src/objetos/forma.c	7 de 7 capturas y 265 de 265 variantes iguales
func_80039BA0	40	IGUAL	src/objetos/forma.c	7 de 7 capturas y 265 de 265 variantes iguales
func_80039BC8	388	IGUAL	src/objetos/choque_formas_g09.c	9 de 9 capturas y 802 de 802 variantes iguales
func_8003A070	268	IGUAL	src/objetos/choque_formas_g09.c	3 de 3 capturas y 177 de 177 variantes iguales
func_8003A17C	212	IGUAL	src/objetos/choque_formas_g09.c	3 de 3 capturas y 185 de 185 variantes iguales
func_8003A250	8	IGUAL	src/objetos/forma.c	7 de 7 capturas y 420 de 420 variantes iguales
func_8003A260	8	IGUAL	src/objetos/forma.c	7 de 7 capturas y 420 de 420 variantes iguales
func_8003AE84	196	IGUAL	src/colision/suelo.c	9 de 9 capturas y 1070 de 1070 variantes iguales
func_8003AF48	84	IGUAL	src/colision/suelo.c	9 de 9 capturas y 565 de 565 variantes iguales
func_8003DD44	48	IGUAL	src/audio/cd.c	8 de 8 capturas y 882 de 882 variantes iguales
func_8003E958	164	IGUAL	src/varios/bloques.c	9 de 9 capturas y 788 de 788 variantes iguales
func_800433C0	288	IGUAL	src/audio/spu_g09.c	9 de 9 capturas y 1224 de 1224 variantes iguales
func_80044BD4	104	IGUAL	src/audio/spu_g09.c	7 de 7 capturas y 952 de 952 variantes iguales
func_800479E8	188	IGUAL	src/objetos/objetos_g10.c	3 de 3 capturas y 280 de 280 variantes iguales
func_80047F24	172	IGUAL	src/objetos/objetos_g10.c	1 de 1 capturas y 47 de 47 variantes iguales
func_80048754	92	IGUAL	src/objetos/objetos_g10.c	3 de 3 capturas y 97 de 97 variantes iguales
func_80048CF4	204	IGUAL	src/objetos/objetos_g10.c	2 de 2 capturas y 103 de 103 variantes iguales
func_8004906C	164	IGUAL	src/objetos/objetos_g10.c	3 de 3 capturas y 173 de 173 variantes iguales
func_80049110	264	IGUAL	src/objetos/objetos_g10.c	2 de 2 capturas y 60 de 60 variantes iguales
func_800492B4	212	IGUAL	src/objetos/objetos_g10.c	3 de 3 capturas y 109 de 109 variantes iguales
func_8004E774	136	IGUAL	src/varios/banco_b.c	9 de 9 capturas y 355 de 355 variantes iguales
func_8004E86C	88	IGUAL	src/varios/banco_b.c	9 de 9 capturas y 475 de 475 variantes iguales
func_8004E8C4	460	IGUAL	src/varios/banco_b.c	9 de 9 capturas y 423 de 423 variantes iguales
func_80053F74	244	IGUAL	src/varios/texto_g11.c	3 de 3 capturas y 332 de 332 variantes iguales
func_80055CAC	320	IGUAL	src/sabrina/objetos_g12.c	9 de 9 capturas y 696 de 696 variantes iguales
func_80057F34	920	IGUAL	src/geometria/partir_80057F34.c	9 de 9 capturas y 632 de 632 variantes iguales
func_800582CC	912	IGUAL	src/geometria/partir_800582CC.c	9 de 9 capturas y 633 de 633 variantes iguales
func_8005865C	912	IGUAL	src/geometria/partir_8005865C.c	9 de 9 capturas y 636 de 636 variantes iguales
func_800589EC	1272	IGUAL	src/geometria/partir_800589EC.c	9 de 9 capturas y 643 de 643 variantes iguales
func_80058EE4	1276	IGUAL	src/geometria/partir_80058EE4.c	9 de 9 capturas y 637 de 637 variantes iguales
func_800593E0	1276	IGUAL	src/geometria/partir_800593E0.c	9 de 9 capturas y 643 de 643 variantes iguales
func_800598DC	1616	IGUAL	src/geometria/partir_800598DC.c	9 de 9 capturas y 646 de 646 variantes iguales
DanoPorEnemigo	816	IGUAL_V0	src/sabrina/dano.c	0 de 1 capturas y 5 de 26 variantes iguales
func_800249CC	124	IGUAL_V0	src/WobjCode/objetos_g06.c	8 de 9 capturas y 339 de 433 variantes iguales
func_80024DFC	368	IGUAL_V0	src/WobjCode/objetos_g06.c	9 de 9 capturas y 866 de 908 variantes iguales
func_8003019C	108	IGUAL_V0	src/sabrina/estados.c	0 de 7 capturas y 0 de 654 variantes iguales
func_8003CF60	172	IGUAL_V0	src/objetos/objeto_g09.c	0 de 3 capturas y 57 de 308 variantes iguales
func_80044D64	196	IGUAL_V0	src/objetos/objeto_g09.c	3 de 3 capturas y 254 de 279 variantes iguales
CrearParticula	952	NO_ESTA	src/objetos/objetos_g10.c	no esta en src/objetos/objetos_g10.c
CargarANI	188	NO_TERMINA	src/varios/animaciones_g07.c	la original no termina en el emulador (espera al hardware)
LeerCuadriculaINO	312	NO_TERMINA	src/modelLoader/cargar_g04.c	la original no termina en el emulador (espera al hardware)
LeerModelosINO	380	NO_TERMINA	src/modelLoader/cargar_g04.c	la original no termina en el emulador (espera al hardware)
func_8001315C	192	NO_TERMINA	src/libgpu/gpu_g01.c	la original no termina en el emulador (espera al hardware)
func_80022D4C	268	NO_TERMINA	src/TexAnima/paletas_g06.c	la original no termina en el emulador (espera al hardware)
func_80022E58	156	NO_TERMINA	src/TexAnima/paletas_g06.c	la original no termina en el emulador (espera al hardware)
func_80025BA0	240	NO_TERMINA	src/membank/tarjeta_g06.c	la original no termina en el emulador (espera al hardware)
func_8002FE64	184	NO_TERMINA	src/varios/animaciones_g07.c	la original no termina en el emulador (espera al hardware)
func_8005A1EC	372	NO_TERMINA	src/sabrina/objetos_g12.c	la original no termina en el emulador (espera al hardware)
func_80039A34	60	SIN_CAPTURAS	src/objetos/forma.c	sin capturas
func_8003A258	8	SIN_CAPTURAS	src/objetos/forma.c	sin capturas
ArchivoLeer	272	TOPE_DE_TIEMPO	src/File/archivo_g03.c	la verificacion no termino a tiempo
SubirAVRAM	96	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_800112C0	284	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_80012D74	104	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_80012DDC	144	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_80012ECC	96	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_80012FE4	172	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_80013090	92	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_800130EC	112	TOPE_DE_TIEMPO	src/libgpu/gpu_g00.c	la verificacion no termino a tiempo
func_800182A8	352	TOPE_DE_TIEMPO	src/nodos/reserva_g02.c	la verificacion no termino a tiempo
func_80018408	128	TOPE_DE_TIEMPO	src/nodos/reserva_g02.c	la verificacion no termino a tiempo
func_80018488	288	TOPE_DE_TIEMPO	src/nodos/reserva_g02.c	la verificacion no termino a tiempo
func_800188C4	224	TOPE_DE_TIEMPO	src/File/archivo_g03.c	la verificacion no termino a tiempo
