funcion	tamano	estado	detalle
func_80012F2C	184	SIN_CAPTURAS	
func_80012FE4	172	NO_COMPILA	src/auto/func_80012FE4.c:16:54: error: ‘printf’ undeclared here (not in a function)
func_80013090	92	DISTINTO	func_80013090: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_800130EC	112	NO_COMPILA	src/auto/func_800130EC.c:12:43: error: ‘printf’ undeclared here (not in a function)
func_8001315C	192	NO_COMPILA	src/auto/func_8001315C.c:12:46: error: ‘printf’ undeclared here (not in a function)
func_8001321C	1272	NO_COMPILA	src/auto/func_8001321C.c:60:46: error: ‘printf’ undeclared here (not in a function)
func_80013714	504	SIN_CAPTURAS	
func_8001390C	236	SIN_CAPTURAS	
func_800139F8	236	SIN_CAPTURAS	
func_80013AE4	324	SIN_CAPTURAS	
func_80013C28	252	SIN_CAPTURAS	
func_80013D24	40	SIN_CAPTURAS	
func_800140BC	24	IGUAL	func_800140BC: 2 de 2 capturas y 35 de 35 variantes iguales -> IGUAL
func_800140DC	40	SIN_CAPTURAS	
func_8001410C	20	SIN_CAPTURAS	
func_8001412C	20	SIN_CAPTURAS	
func_8001414C	20	SIN_CAPTURAS	
func_8001416C	20	IGUAL	func_8001416C: 2 de 2 capturas y 32 de 32 variantes iguales -> IGUAL
func_8001418C	20	SIN_CAPTURAS	
func_800141AC	20	SIN_CAPTURAS	
func_800141CC	20	SIN_CAPTURAS	
func_800142FC	12	SIN_CAPTURAS	
func_800143E4	16	SIN_CAPTURAS	
func_800143F4	16	SIN_CAPTURAS	
func_800144C4	156	SIN_CAPTURAS	
func_80014560	56	SIN_CAPTURAS	
func_80014598	52	SIN_CAPTURAS	
func_80014670	256	SIN_CAPTURAS	
func_80014774	412	SIN_CAPTURAS	
func_80014910	120	SIN_CAPTURAS	
func_80014988	56	SIN_CAPTURAS	
func_800149C0	104	SIN_CAPTURAS	
func_80014A28	64	SIN_CAPTURAS	
func_80014A6C	16	SIN_CAPTURAS	
func_80014AEC	20	IGUAL	func_80014AEC: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80014B00	20	IGUAL	func_80014B00: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80014B4C	52	DISTINTO	func_80014B4C: 1 de 2 capturas y 19 de 60 variantes iguales -> DISTINTO
func_80014F10	48	IGUAL	func_80014F10: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80014FF0	56	DISTINTO	func_80014FF0: 2 de 2 capturas y 31 de 33 variantes iguales -> DISTINTO
func_800150F0	52	DISTINTO	func_800150F0: 0 de 2 capturas y 6 de 32 variantes iguales -> DISTINTO
func_80016170	60	SIN_CAPTURAS	
func_800161BC	12	SIN_CAPTURAS	
func_800161C8	12	SIN_CAPTURAS	
func_800161D4	152	DISTINTO	func_800161D4: 1 de 2 capturas y 27 de 47 variantes iguales -> DISTINTO
func_8001626C	376	DISTINTO	func_8001626C: 0 de 2 capturas y 0 de 48 variantes iguales -> DISTINTO
func_800163E4	216	SIN_CAPTURAS	
func_800164BC	464	DISTINTO	func_800164BC: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001668C	328	SIN_CAPTURAS	
func_800167D4	160	SIN_CAPTURAS	
func_80016874	120	SIN_CAPTURAS	
func_800168EC	36	SIN_CAPTURAS	
func_80016910	48	SIN_CAPTURAS	
func_80016940	48	SIN_CAPTURAS	
func_80016970	48	DISTINTO	func_80016970: 0 de 2 capturas y 0 de 35 variantes iguales -> DISTINTO
func_800169A0	52	SIN_CAPTURAS	
func_800169D4	48	SIN_CAPTURAS	
func_80016A04	16	IGUAL	func_80016A04: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80016A14	24	IGUAL	func_80016A14: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80016A2C	108	DISTINTO	func_80016A2C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80016A98	44	SIN_CAPTURAS	
func_80016AC4	36	SIN_CAPTURAS	
func_80016AF4	88	SIN_CAPTURAS	
func_80016B4C	384	NO_COMPILA	src/auto/func_80016B4C.c:56:23: error: invalid type argument of unary ‘*’ (have ‘u32’ {aka ‘unsigned int’})
func_80016CCC	172	DISTINTO	func_80016CCC: 0 de 2 capturas y 2 de 35 variantes iguales -> DISTINTO
func_80016D78	36	SIN_CAPTURAS	
func_80016DA0	76	SIN_CAPTURAS	
func_80016DEC	20	SIN_CAPTURAS	
func_80016E00	16	IGUAL	func_80016E00: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80016E1C	284	SIN_CAPTURAS	
func_80016F38	544	SIN_CAPTURAS	
func_80017158	116	SIN_CAPTURAS	
func_800171CC	312	SIN_CAPTURAS	
func_80017304	16	SIN_CAPTURAS	
func_800175F4	76	SIN_CAPTURAS	
func_800177B4	128	SIN_CAPTURAS	
func_80017B5C	24	SIN_CAPTURAS	
func_80017B7C	12	SIN_CAPTURAS	
func_80017B8C	48	SIN_CAPTURAS	
func_80017BC0	172	SIN_CAPTURAS	
func_80017C6C	80	SIN_CAPTURAS	
func_80017CBC	40	SIN_CAPTURAS	
func_80017CE4	40	SIN_CAPTURAS	
func_80017D3C	68	DISTINTO	func_80017D3C: 0 de 2 capturas y 0 de 30 variantes iguales -> DISTINTO
func_80017D80	468	NO_COMPILA	src/auto/func_80017D80.c:32:9: error: ‘spB0’ undeclared (first use in this function)
func_80018218	144	SIN_CAPTURAS	
func_800182A8	352	DISTINTO	func_800182A8: 0 de 2 capturas y 0 de 30 variantes iguales -> DISTINTO
func_80018408	128	DISTINTO	func_80018408: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80018488	288	DISTINTO	func_80018488: 0 de 2 capturas y 0 de 34 variantes iguales -> DISTINTO
func_800185A8	200	SIN_CAPTURAS	
func_800188C4	224	NO_COMPILA	src/auto/func_800188C4.c:22:9: error: ‘spAC’ undeclared (first use in this function); did you mean ‘spA8’?
func_800189A4	352	DISTINTO	func_800189A4: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80018C8C	44	DISTINTO	func_80018C8C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80018CB8	132	SIN_CAPTURAS	
func_800190C0	280	SIN_CAPTURAS	
func_800191D8	92	DISTINTO	func_800191D8: 0 de 2 capturas y 0 de 15 variantes iguales -> DISTINTO
func_80019234	84	DISTINTO	func_80019234: 0 de 2 capturas y 5 de 31 variantes iguales -> DISTINTO
func_80019288	236	DISTINTO	func_80019288: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80019374	132	DISTINTO	func_80019374: 0 de 2 capturas y 0 de 10 variantes iguales -> DISTINTO
func_800193F8	108	SIN_CAPTURAS	
func_80019464	184	SIN_CAPTURAS	
func_8001951C	540	SIN_CAPTURAS	
func_80019738	172	SIN_CAPTURAS	
func_800197E4	56	SIN_CAPTURAS	
func_8001981C	1000	NO_COMPILA	src/auto/func_8001981C.c:49:5: error: ‘func_80046B90’ undeclared here (not in a function)
func_80019C04	192	DISTINTO	func_80019C04: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80019CC4	84	DISTINTO	func_80019CC4: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80019D18	104	IGUAL	func_80019D18: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80019D80	572	IGUAL	func_80019D80: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80019FBC	332	SIN_CAPTURAS	
func_8001A108	288	SIN_CAPTURAS	
func_8001A228	664	SIN_CAPTURAS	
func_8001A4C0	352	SIN_CAPTURAS	
func_8001A620	72	SIN_CAPTURAS	
func_8001A668	236	SIN_CAPTURAS	
func_8001A754	1668	SIN_CAPTURAS	
func_8001ADD8	348	SIN_CAPTURAS	
func_8001B000	200	SIN_CAPTURAS	
func_8001B0C8	972	SIN_CAPTURAS	
func_8001B494	68	DISTINTO	func_8001B494: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001B5F8	8	SIN_CAPTURAS	
func_8001B600	152	SIN_CAPTURAS	
func_8001B698	808	SIN_CAPTURAS	
func_8001B9C0	776	SIN_CAPTURAS	
func_8001BE8C	256	IGUAL	func_8001BE8C: 2 de 2 capturas y 57 de 57 variantes iguales -> IGUAL
func_8001BF8C	120	IGUAL	func_8001BF8C: 2 de 2 capturas y 55 de 55 variantes iguales -> IGUAL
func_8001C004	204	IGUAL	func_8001C004: 2 de 2 capturas y 53 de 53 variantes iguales -> IGUAL
func_8001C0D0	176	DISTINTO	func_8001C0D0: 2 de 2 capturas y 9 de 57 variantes iguales -> DISTINTO
func_8001C180	84	IGUAL	func_8001C180: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
func_8001C1D4	172	DISTINTO	func_8001C1D4: 0 de 2 capturas y 1 de 12 variantes iguales -> DISTINTO
func_8001C280	80	SIN_CAPTURAS	
func_8001C2D0	52	SIN_CAPTURAS	
func_8001C304	56	IGUAL	func_8001C304: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8001C33C	84	IGUAL	func_8001C33C: 2 de 2 capturas y 10 de 10 variantes iguales -> IGUAL
func_8001C390	52	SIN_CAPTURAS	
func_8001C3C4	64	DISTINTO	func_8001C3C4: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001C404	88	GTE	
func_8001C45C	824	DISTINTO	func_8001C45C: 0 de 2 capturas y 0 de 13 variantes iguales -> DISTINTO
func_8001C794	64	DISTINTO	func_8001C794: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001CB4C	704	SIN_CAPTURAS	
func_8001D518	60	DISTINTO	func_8001D518: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001D554	108	SIN_CAPTURAS	
func_8001D5C0	440	SIN_CAPTURAS	
func_8001D778	372	DISTINTO	func_8001D778: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001D8EC	1664	DISTINTO	func_8001D8EC: 0 de 2 capturas y 3 de 15 variantes iguales -> DISTINTO
func_8001DF6C	212	SIN_CAPTURAS	
func_8001E040	44	SIN_CAPTURAS	
func_8001E06C	248	DISTINTO	func_8001E06C: 0 de 2 capturas y 0 de 12 variantes iguales -> DISTINTO
func_8001E164	204	DISTINTO	func_8001E164: 2 de 2 capturas y 25 de 26 variantes iguales -> DISTINTO
func_8001E230	172	IGUAL	func_8001E230: 2 de 2 capturas y 26 de 26 variantes iguales -> IGUAL
func_8001E2DC	136	IGUAL	func_8001E2DC: 2 de 2 capturas y 14 de 14 variantes iguales -> IGUAL
func_8001E588	544	IGUAL	func_8001E588: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8001E7A8	332	IGUAL	func_8001E7A8: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8001E8F4	164	IGUAL	func_8001E8F4: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8001E998	68	IGUAL	func_8001E998: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_8001E9DC	8	IGUAL	func_8001E9DC: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8001ED9C	72	DISTINTO	func_8001ED9C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001EDE4	1112	DISTINTO	func_8001EDE4: 0 de 2 capturas y 0 de 26 variantes iguales -> DISTINTO
func_8001F23C	196	DISTINTO	func_8001F23C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001F300	52	DISTINTO	func_8001F300: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001F334	44	IGUAL	func_8001F334: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8001F360	188	IGUAL	func_8001F360: 2 de 2 capturas y 25 de 25 variantes iguales -> IGUAL
func_8001F41C	140	DISTINTO	func_8001F41C: 0 de 2 capturas y 0 de 23 variantes iguales -> DISTINTO
func_8001F518	12	DISTINTO	func_8001F518: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8001F524	420	SIN_CAPTURAS	
func_8001F6C8	884	GTE	
func_8001FA3C	544	GTE	
func_8001FC5C	152	IGUAL	func_8001FC5C: 2 de 2 capturas y 31 de 31 variantes iguales -> IGUAL
func_8001FCF4	52	DISTINTO	func_8001FCF4: 0 de 2 capturas y 0 de 10 variantes iguales -> DISTINTO
func_8001FD28	40	DISTINTO	func_8001FD28: 0 de 2 capturas y 0 de 10 variantes iguales -> DISTINTO
func_8001FD50	1348	GTE	
func_80020294	604	M2C_FALLA	Cannot find branch target func_80020294
func_800204F0	496	GTE	
func_800206E0	8	IGUAL	func_800206E0: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800206E8	8	IGUAL	func_800206E8: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800206F0	116	DISTINTO	func_800206F0: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80020764	72	DISTINTO	func_80020764: 0 de 2 capturas y 0 de 33 variantes iguales -> DISTINTO
func_800207AC	108	IGUAL	func_800207AC: 2 de 2 capturas y 6 de 6 variantes iguales -> IGUAL
func_80020818	560	DISTINTO	func_80020818: 0 de 2 capturas y 1 de 60 variantes iguales -> DISTINTO
func_80021120	112	DISTINTO	func_80021120: 1 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80021190	68	SIN_CAPTURAS	
func_800211D4	256	DISTINTO	func_800211D4: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_800212D4	204	SIN_CAPTURAS	
func_800213A0	412	SIN_CAPTURAS	
func_8002153C	660	SIN_CAPTURAS	
func_800217D0	260	DISTINTO	func_800217D0: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_800218D4	244	DISTINTO	func_800218D4: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_800219C8	48	IGUAL	func_800219C8: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_800219F8	56	DISTINTO	func_800219F8: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80021A30	100	IGUAL	func_80021A30: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80021A94	184	SIN_CAPTURAS	
func_80021B4C	240	NO_COMPILA	src/auto/func_80021B4C.c:36:55: error: ‘subroutine_arg3’ undeclared (first use in this function)
func_80021C3C	12	IGUAL	func_80021C3C: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_80021C48	156	SIN_CAPTURAS	
func_80021CE4	96	NO_COMPILA	src/auto/func_80021CE4.c:19:15: error: invalid type argument of unary ‘*’ (have ‘int’)
func_80021D44	272	DISTINTO	func_80021D44: 2 de 2 capturas y 11 de 27 variantes iguales -> DISTINTO
func_80021E54	284	DISTINTO	func_80021E54: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
func_80021F70	236	IGUAL	func_80021F70: 2 de 2 capturas y 29 de 29 variantes iguales -> IGUAL
func_8002205C	168	IGUAL	func_8002205C: 2 de 2 capturas y 22 de 22 variantes iguales -> IGUAL
func_80022104	136	IGUAL	func_80022104: 2 de 2 capturas y 7 de 7 variantes iguales -> IGUAL
func_8002218C	28	DISTINTO	func_8002218C: 0 de 2 capturas y 1 de 27 variantes iguales -> DISTINTO
func_800221A8	84	IGUAL	func_800221A8: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
func_800221FC	96	IGUAL	func_800221FC: 2 de 2 capturas y 59 de 59 variantes iguales -> IGUAL
func_8002225C	60	IGUAL	func_8002225C: 2 de 2 capturas y 24 de 24 variantes iguales -> IGUAL
func_80022298	120	IGUAL	func_80022298: 2 de 2 capturas y 22 de 22 variantes iguales -> IGUAL
func_80022310	216	SIN_CAPTURAS	
func_800223E8	100	NO_COMPILA	src/auto/func_800223E8.c:17:16: error: ‘sp50’ undeclared (first use in this function); did you mean ‘sp20’?
func_8002244C	108	SIN_CAPTURAS	
func_800224B8	112	SIN_CAPTURAS	
func_80022528	60	DISTINTO	func_80022528: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80022564	176	DISTINTO	func_80022564: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80022614	772	DISTINTO	func_80022614: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80022918	692	DISTINTO	func_80022918: 0 de 1 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80022BCC	384	NO_COMPILA	src/auto/func_80022BCC.c:131:30: error: invalid type argument of unary ‘*’ (have ‘int’)
func_80022D4C	268	NO_COMPILA	src/auto/func_80022D4C.c:37:26: error: invalid type argument of unary ‘*’ (have ‘s32’ {aka ‘int’})
func_80022E58	156	NO_COMPILA	src/auto/func_80022E58.c:8:42: error: ‘func_80022BCC’ undeclared here (not in a function)
func_80022EF4	140	DISTINTO	func_80022EF4: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80022FD8	100	DISTINTO	func_80022FD8: 0 de 1 capturas y 13 de 30 variantes iguales -> DISTINTO
func_8002303C	1600	DISTINTO	func_8002303C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_8002367C	1136	NO_COMPILA	src/auto/func_8002367C.c:120:13: error: ‘default’ label not within a switch statement
func_80023AEC	80	DISTINTO	func_80023AEC: 1 de 2 capturas y 30 de 60 variantes iguales -> DISTINTO
func_80023B3C	768	DISTINTO	func_80023B3C: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
func_80023E3C	408	SIN_CAPTURAS	
func_80023FD4	576	SIN_CAPTURAS	
func_80024294	108	SIN_CAPTURAS	
func_80024300	40	M2C_FALLA	Cannot find jtbl target caseD_0
func_80024444	12	DISTINTO	func_80024444: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80024450	284	SIN_CAPTURAS	
func_800249B8	20	DISTINTO	func_800249B8: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
