funcion	tamano	estado	detalle
ActivarObjetosCercanos	544	DISTINTO	ActivarObjetosCercanos: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
ActualizarBarraVida	88	DISTINTO	ActualizarBarraVida: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
Afirmar	48	IGUAL	Afirmar: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
ArchivoAbrir	140	DISTINTO	ArchivoAbrir: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
ArchivoCerrar	152	IGUAL	ArchivoCerrar: 2 de 2 capturas y 27 de 27 variantes iguales -> IGUAL
ArchivoIniciar	120	IGUAL	ArchivoIniciar: 2 de 2 capturas y 24 de 24 variantes iguales -> IGUAL
ArchivoLeer	272	IGUAL	ArchivoLeer: 2 de 2 capturas y 6 de 6 variantes iguales -> IGUAL
BitDeZona	700	DISTINTO	BitDeZona: 0 de 9 capturas y 3 de 127 variantes iguales -> DISTINTO
BuclePrincipal	1492	SIN_CAPTURAS	
CargarANI	188	NO_COMPILA	src/auto/CargarANI.c:27:30: error: invalid operands to binary - (have ‘s32’ {aka ‘int’} and ‘u8 *’ {aka ‘unsigned char *
CargarArchivoEntero	68	IGUAL	CargarArchivoEntero: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
CargarINO	184	DISTINTO	CargarINO: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
CargarSonidoNivel	468	IGUAL	CargarSonidoNivel: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
CargarWRLDDATA	308	DISTINTO	CargarWRLDDATA: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
CeldaDePosicion	92	YA_HECHA	
CrearObjetoMundo	792	IGUAL	CrearObjetoMundo: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
CrearParticula	952	NO_COMPILA	src/auto/CrearParticula.c:5:42: error: array type has incomplete element type ‘struct _struct_tabla_efectos_0x14’
CrearRecogible	608	NO_COMPILA	src/auto/CrearRecogible.c:97:9: error: ‘sp130’ undeclared (first use in this function); did you mean ‘sp30’?
D_800609B0	208	SIN_CAPTURAS	
DanoPorEnemigo	816	DISTINTO	DanoPorEnemigo: 0 de 2 capturas y 0 de 15 variantes iguales -> DISTINTO
DanoPorSuelo	1864	DISTINTO	DanoPorSuelo: 1 de 2 capturas y 16 de 30 variantes iguales -> DISTINTO
DibujarCeldasVisibles	508	NO_COMPILA	src/auto/DibujarCeldasVisibles.c:28:14: error: invalid type argument of unary ‘*’ (have ‘int’)
DibujarTexto	900	DISTINTO	DibujarTexto: 0 de 2 capturas y 0 de 24 variantes iguales -> DISTINTO
FisicaObjeto	2436	NO_COMPILA	src/auto/FisicaObjeto.c:215:51: error: ‘spB8’ undeclared (first use in this function); did you mean ‘spBC’?
HerramientaArmarCuadricula	432	SIN_CAPTURAS	
HerramientaArmarModelos	680	SIN_CAPTURAS	
HerramientaConvertirPIC	452	SIN_CAPTURAS	
HerramientaConvertirTEX	204	SIN_CAPTURAS	
ImprimirDepuracion	960	NO_COMPILA	src/auto/ImprimirDepuracion.c:54:18: error: invalid type argument of unary ‘*’ (have ‘s32’ {aka ‘int’})
IniciarEnemigoTipo15	808	DISTINTO	IniciarEnemigoTipo15: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
IniciarRecogibleTipo18	112	DISTINTO	IniciarRecogibleTipo18: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
IniciarRecogibleTipo19	112	DISTINTO	IniciarRecogibleTipo19: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
IniciarRecogibleTipo23	112	DISTINTO	IniciarRecogibleTipo23: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
IniciarRecogibleTipo4	112	DISTINTO	IniciarRecogibleTipo4: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
LeerCuadriculaINO	312	NO_COMPILA	src/auto/LeerCuadriculaINO.c:31:27: error: ‘sp1E’ undeclared (first use in this function); did you mean ‘sp1C’?
LeerLetraINO	120	DISTINTO	LeerLetraINO: 0 de 2 capturas y 0 de 27 variantes iguales -> DISTINTO
LeerMAO	432	NO_COMPILA	src/auto/LeerMAO.c:29:59: error: invalid operands to binary - (have ‘void *’ and ‘u8 *’ {aka ‘unsigned char *’})
LeerModelosINO	380	DISTINTO	LeerModelosINO: 1 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
LeerNodoModelo	888	NO_COMPILA	src/auto/LeerNodoModelo.c:18:14: error: ‘saved_reg_s1’ undeclared (first use in this function)
LeerParticulasINO	112	DISTINTO	LeerParticulasINO: 0 de 2 capturas y 0 de 28 variantes iguales -> DISTINTO
LeerSpritesINO	284	DISTINTO	LeerSpritesINO: 0 de 2 capturas y 0 de 20 variantes iguales -> DISTINTO
Liberar	716	DISTINTO	Liberar: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
MatrizDesdeAngulos	548	IGUAL	MatrizDesdeAngulos: 2 de 2 capturas y 1 de 1 variantes iguales -> IGUAL
PantallasLegales	456	SIN_CAPTURAS	
PuntoEnTriangulo	516	NO_COMPILA	src/auto/PuntoEnTriangulo.c:35:15: error: invalid type argument of unary ‘*’ (have ‘int’)
RecogibleNoTomado	84	YA_HECHA	
RegistrarRecogible	928	DISTINTO	RegistrarRecogible: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
RegistrarTextura	200	DISTINTO	RegistrarTextura: 0 de 2 capturas y 1 de 60 variantes iguales -> DISTINTO
ReproducirSTR	184	SIN_CAPTURAS	
Reservar	584	DISTINTO	Reservar: 0 de 2 capturas y 0 de 43 variantes iguales -> DISTINTO
SubirAVRAM	96	DISTINTO	SubirAVRAM: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
TexturaPorIndice	88	DISTINTO	TexturaPorIndice: 0 de 2 capturas y 36 de 60 variantes iguales -> DISTINTO
TocarSonido	444	DISTINTO	TocarSonido: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80010000	48	SIN_CAPTURAS	
func_80010604	8	SIN_CAPTURAS	
func_8001060C	8	SIN_CAPTURAS	
func_80010614	8	SIN_CAPTURAS	
func_8001061C	8	SIN_CAPTURAS	
func_80010624	8	SIN_CAPTURAS	
func_8001062C	68	SIN_CAPTURAS	
func_80010670	88	SIN_CAPTURAS	
func_800106C8	76	SIN_CAPTURAS	
func_80010880	160	DISTINTO	func_80010880: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80010920	696	NO_COMPILA	src/auto/func_80010920.c:16:39: error: array type has incomplete element type ‘struct _struct_D_80063534_0x30’
func_80010BD8	796	NO_COMPILA	src/auto/func_80010BD8.c:7:39: error: array type has incomplete element type ‘struct _struct_D_80063508_0x10’
func_800112C0	284	NO_COMPILA	src/auto/func_800112C0.c:13:58: error: ‘printf’ undeclared here (not in a function)
func_800113DC	624	NO_COMPILA	src/auto/func_800113DC.c:55:31: error: invalid use of void expression
func_8001164C	32	IGUAL	func_8001164C: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_8001166C	152	DISTINTO	func_8001166C: 0 de 2 capturas y 3 de 60 variantes iguales -> DISTINTO
func_80011704	152	DISTINTO	func_80011704: 0 de 2 capturas y 4 de 60 variantes iguales -> DISTINTO
func_8001179C	28	IGUAL	func_8001179C: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800117B8	128	IGUAL	func_800117B8: 2 de 2 capturas y 25 de 25 variantes iguales -> IGUAL
func_80011838	24	SIN_CAPTURAS	
func_80011850	224	DISTINTO	func_80011850: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80011930	560	DISTINTO	func_80011930: 0 de 2 capturas y 0 de 29 variantes iguales -> DISTINTO
func_80011B60	572	DISTINTO	func_80011B60: 0 de 2 capturas y 1 de 3 variantes iguales -> DISTINTO
func_80011D9C	640	DISTINTO	func_80011D9C: 0 de 2 capturas y 0 de 1 variantes iguales -> DISTINTO
func_8001201C	36	DISTINTO	func_8001201C: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80012040	20	SIN_CAPTURAS	
func_80012054	64	IGUAL	func_80012054: 2 de 2 capturas y 0 de 0 variantes iguales -> IGUAL
func_80012094	72	DISTINTO	func_80012094: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_800120DC	48	SIN_CAPTURAS	
func_8001210C	36	SIN_CAPTURAS	
func_80012130	688	NO_COMPILA	src/auto/func_80012130.c:43:26: error: ‘func_800123E0’ undeclared (first use in this function); did you mean ‘func_80012
func_800123E0	608	NO_COMPILA	src/auto/func_800123E0.c:40:26: error: called object is not a function or function pointer
func_80012640	336	SIN_CAPTURAS	
func_80012790	316	IGUAL	func_80012790: 2 de 2 capturas y 60 de 60 variantes iguales -> IGUAL
func_800128CC	52	DISTINTO	func_800128CC: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80012900	324	DISTINTO	func_80012900: 0 de 2 capturas y 0 de 60 variantes iguales -> DISTINTO
func_80012A44	160	SIN_CAPTURAS	
func_80012AE4	36	SIN_CAPTURAS	
func_80012B0C	372	SIN_CAPTURAS	
func_80012C80	92	SIN_CAPTURAS	
func_80012CDC	152	SIN_CAPTURAS	
func_80012D74	104	NO_COMPILA	src/auto/func_80012D74.c:12:43: error: ‘printf’ undeclared here (not in a function)
func_80012DDC	144	DISTINTO	func_80012DDC: 1 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
func_80012ECC	96	DISTINTO	func_80012ECC: 0 de 2 capturas y 0 de 0 variantes iguales -> DISTINTO
