8001c33c	84	func_8001C33C
8001c390	52	func_8001C390
8001c3c4	64	func_8001C3C4
8001c404	88	func_8001C404
8001c45c	824	func_8001C45C
8001c794	64	func_8001C794
8001c7d4	888	LeerNodoModelo
8001cb4c	704	func_8001CB4C
8001ce0c	380	LeerModelosINO
8001cf88	680	HerramientaArmarModelos
8001d230	312	LeerCuadriculaINO
8001d368	432	HerramientaArmarCuadricula
8001d518	60	func_8001D518
8001d554	108	func_8001D554
8001d5c0	440	func_8001D5C0
8001d778	372	func_8001D778
8001d8ec	1664	func_8001D8EC
8001df6c	212	func_8001DF6C
8001e040	44	func_8001E040
8001e06c	248	func_8001E06C
8001e164	204	func_8001E164
8001e230	172	func_8001E230
8001e2dc	136	func_8001E2DC
8001e364	548	MatrizDesdeAngulos
8001e588	544	func_8001E588
8001e7a8	332	func_8001E7A8
8001e8f4	164	func_8001E8F4
8001e998	68	func_8001E998
8001e9dc	8	func_8001E9DC
8001e9e4	952	CrearParticula
8001ed9c	72	func_8001ED9C
8001ede4	1112	func_8001EDE4
8001f23c	196	func_8001F23C
8001f300	52	func_8001F300
8001f334	44	func_8001F334
8001f360	188	func_8001F360
8001f41c	140	func_8001F41C
8001f4a8	112	LeerParticulasINO
8001f518	12	func_8001F518
8001f524	420	func_8001F524
8001f6c8	884	func_8001F6C8
8001fa3c	544	func_8001FA3C
8001fc5c	152	func_8001FC5C
8001fcf4	52	func_8001FCF4
8001fd28	40	func_8001FD28
8001fd50	1348	func_8001FD50
80020294	604	func_80020294
800204f0	496	func_800204F0
800206e0	8	func_800206E0
800206e8	8	func_800206E8
800206f0	116	func_800206F0
80020764	72	func_80020764
800207ac	108	func_800207AC
80020818	560	func_80020818
80020a48	700	BitDeZona
80020d04	508	DibujarCeldasVisibles
80020f00	544	ActivarObjetosCercanos
80021120	112	func_80021120
80021190	68	func_80021190
800211d4	256	func_800211D4
800212d4	204	func_800212D4
800213a0	412	func_800213A0
8002153c	660	func_8002153C
800217d0	260	func_800217D0
800218d4	244	func_800218D4
800219c8	48	func_800219C8
800219f8	56	func_800219F8
80021a30	100	func_80021A30
80021a94	184	func_80021A94
80021b4c	240	func_80021B4C
80021c3c	12	func_80021C3C
80021c48	156	func_80021C48
80021ce4	96	func_80021CE4
80021d44	272	func_80021D44
80021e54	284	func_80021E54
80021f70	236	func_80021F70
8002205c	168	func_8002205C
80022104	136	func_80022104
8002218c	28	func_8002218C
800221a8	84	func_800221A8
800221fc	96	func_800221FC
8002225c	60	func_8002225C
80022298	120	func_80022298
80022310	216	func_80022310
800223e8	100	func_800223E8
8002244c	108	func_8002244C
800224b8	112	func_800224B8
80022528	60	func_80022528
80022564	176	func_80022564
80022614	772	func_80022614
80022918	692	func_80022918
80022bcc	384	func_80022BCC
80022d4c	268	func_80022D4C
80022e58	156	func_80022E58
80022ef4	140	func_80022EF4
80022f80	88	ActualizarBarraVida
80022fd8	100	func_80022FD8
8002303c	1600	func_8002303C
8002367c	1136	func_8002367C
80023aec	80	func_80023AEC
80023b3c	768	func_80023B3C
80023e3c	408	func_80023E3C
80023fd4	576	func_80023FD4
80024214	116	caseD_1
80024288	12	caseD_0
80024294	108	func_80024294
80024300	40	func_80024300
80024328	284	LeerSpritesINO
80024444	12	func_80024444
80024450	284	func_80024450
8002456c	308	CargarWRLDDATA
800246a0	792	CrearObjetoMundo
800249b8	20	func_800249B8
800249cc	124	func_800249CC
80024a48	316	func_80024A48
80024b84	608	CrearRecogible
